batch_id,source_system_cd,mode,status,actor,started_at,finished_at,extracted,unchanged_hash,standardized,homologated,unknown_codes,dq_passed,dq_quarantined,xref_hits,loaded,matched,auto_merged,probable
1,SF_EC,FULL,OK,demo,2026-09-16 11:21:22.943830+00:00,2026-09-16 11:21:22.949809+00:00,264,0,264,264,0,264,0,0,264,0,0,0
2,SAP_ECC_SD,FULL,OK,demo,2026-09-16 11:21:30.804884+00:00,2026-09-16 11:21:30.809436+00:00,291,0,291,291,0,290,1,0,290,1,1,0
3,SAP_ECC_MM,FULL,OK,demo,2026-09-16 11:21:41.702695+00:00,2026-09-16 11:21:41.707586+00:00,103,0,103,103,0,103,0,0,103,2,2,0
4,SAP_CRM,FULL,OK,demo,2026-09-16 11:21:46.092581+00:00,2026-09-16 11:21:46.096643+00:00,673,0,673,673,2,673,0,0,673,514,513,1
5,WEB_PORTAL,FULL,OK,demo,2026-09-16 11:24:31.047733+00:00,2026-09-16 11:24:31.052002+00:00,261,0,261,261,0,261,0,0,261,178,175,2
