batch_id,source_system_cd,mode,status,actor,started_at,finished_at,extracted,unchanged_hash,standardized,homologated,unknown_codes,dq_passed,dq_quarantined,xref_hits,loaded,matched,auto_merged,probable
1,SF_EC,FULL,OK,e2e,2026-09-13 20:26:37.519795+00:00,2026-09-13 20:26:37.526176+00:00,263,0,263,263,0,263,0,0,263,0,0,0
2,SAP_ECC_SD,FULL,OK,e2e,2026-09-13 20:26:48.731340+00:00,2026-09-13 20:26:48.736504+00:00,289,0,289,289,0,288,1,0,288,0,0,0
3,SAP_ECC_MM,FULL,OK,e2e,2026-09-13 20:27:03.061277+00:00,2026-09-13 20:27:03.066521+00:00,102,0,102,102,0,102,0,0,102,1,1,0
4,SAP_CRM,FULL,OK,e2e,2026-09-13 20:27:08.521130+00:00,2026-09-13 20:27:08.525999+00:00,668,0,668,668,2,668,0,0,668,512,511,1
5,WEB_PORTAL,FULL,OK,e2e,2026-09-13 20:29:58.100322+00:00,2026-09-13 20:29:58.105393+00:00,259,0,259,259,0,259,0,0,259,176,174,1
6,SAP_CRM,REHOMOLOGATE,OK,steward.mdm,2026-09-13 20:30:50.194928+00:00,2026-09-13 20:30:50.194928+00:00,1,0,0,1,0,0,0,0,1,0,0,0
